stu;nb_polys;nb_smu;area;soil;soil90;text1;text2;slope1;slope2;aglim1;aglim2;mat1;mat2;zmin;zmax;use1;use2;dt;td1;td2;roo;il;wr;wm1;wm2;wm3;cfl
"332643;2;1;4.8666248;\"U\";\"\";1;0;2;4;4;3;\"711\";\"\";1500;2000;5;0;5;0;0;3;1;1;2;0;0;\"M\""
"332644;22;1;4068.32970987;\"Pl\";\"\";2;1;2;3;2;3;\"711\";\"741\";-999;-999;5;11;5;0;0;2;1;1;2;0;0;\"M\""
"332645;22;1;2440.99782592;\"Bd\";\"\";2;0;2;3;2;3;\"711\";\"741\";-999;-999;5;11;5;0;0;2;1;1;2;0;0;\"M\""
"332646;22;1;1627.33188395;\"Ph\";\"\";1;0;2;3;2;3;\"711\";\"\";-999;-999;5;11;5;0;0;2;1;1;2;0;0;\"L\""
"332647;10;1;2055.4875677;\"Pl\";\"\";2;1;2;4;2;3;\"700\";\"\";700;2200;5;11;5;0;0;2;1;1;2;0;0;\"H\""
"332648;10;1;587.2821622;\"Bd\";\"\";2;0;2;3;2;1;\"700\";\"\";700;2200;5;11;5;0;0;1;1;1;2;0;0;\"H\""
"332649;10;1;146.82054055;\"Be\";\"\";2;0;2;3;1;1;\"720\";\"\";700;2200;5;11;5;0;0;2;1;1;2;0;0;\"H\""
"332650;10;1;146.82054055;\"Bc\";\"\";2;0;2;0;1;1;\"700\";\"\";700;2200;5;11;5;0;0;1;1;1;2;0;0;\"H\""
"332651;1;1;639.6876864;\"Pl\";\"\";1;0;2;4;2;1;\"700\";\"\";1000;2000;5;11;5;0;0;3;1;1;2;0;0;\"H\""
"332652;1;1;274.1518656;\"Id\";\"\";1;0;3;4;3;1;\"700\";\"\";1000;2000;5;11;5;0;0;4;1;1;2;0;0;\"H\""
"332653;7;1;2231.801746;\"Ph\";\"\";1;0;1;0;1;1;\"430\";\"420\";0;100;5;3;5;0;0;1;2;3;2;0;0;\"H\""
"332654;2;1;102.82914;\"Pg\";\"\";1;0;1;0;1;1;\"410\";\"450\";0;75;5;0;5;0;0;2;2;2;2;0;0;\"H\""
"332655;3;1;43.014686;\"Pg\";\"\";1;0;1;0;1;1;\"430\";\"420\";-999;-999;5;0;2;4;0;1;3;2;0;0;0;\"H\""
